NAME                               CPU(cores)   MEMORY(bytes)   
gateway-service-68ff9dfb68-kmm59   7m           238Mi           
gateway-service-68ff9dfb68-tm95v   30m          165Mi           
gateway-service-68ff9dfb68-z8dgl   7m           159Mi           
gateway-service-68ff9dfb68-zr9kw   13m          177Mi           
order-service-578dc67d78-72wvq     9m           134Mi           
order-service-578dc67d78-bffmv     5m           184Mi           
order-service-578dc67d78-gqgdt     7m           136Mi           
product-service-5b66b9564b-pklfg   6m           156Mi           
product-service-5b66b9564b-sp2j6   6m           130Mi           
product-service-5b66b9564b-vbvf5   7m           133Mi           
