LAST SEEN   TYPE     REASON      OBJECT                       MESSAGE
93s         Normal   Scheduled   pod/nettest                  Successfully assigned minishop/nettest to minikube
92s         Normal   Started     pod/nettest                  Started container nettest
92s         Normal   Created     pod/nettest                  Created container: nettest
92s         Normal   Pulled      pod/nettest                  Container image "busybox:1.36" already present on machine
87s         Normal   Scheduled   pod/fortio-warmup-f7ad20e4   Successfully assigned minishop/fortio-warmup-f7ad20e4 to minikube
85s         Normal   Pulling     pod/fortio-warmup-f7ad20e4   Pulling image "fortio/fortio:latest"
84s         Normal   Created     pod/fortio-warmup-f7ad20e4   Created container: fortio-warmup-f7ad20e4
84s         Normal   Pulled      pod/fortio-warmup-f7ad20e4   Successfully pulled image "fortio/fortio:latest" in 1.49s (1.49s including waiting). Image size: 19001528 bytes.
83s         Normal   Started     pod/fortio-warmup-f7ad20e4   Started container fortio-warmup-f7ad20e4
70s         Normal   Scheduled   pod/fortio-low-1-de61f0c5    Successfully assigned minishop/fortio-low-1-de61f0c5 to minikube
69s         Normal   Pulling     pod/fortio-low-1-de61f0c5    Pulling image "fortio/fortio:latest"
67s         Normal   Started     pod/fortio-low-1-de61f0c5    Started container fortio-low-1-de61f0c5
67s         Normal   Created     pod/fortio-low-1-de61f0c5    Created container: fortio-low-1-de61f0c5
67s         Normal   Pulled      pod/fortio-low-1-de61f0c5    Successfully pulled image "fortio/fortio:latest" in 1.478s (1.478s including waiting). Image size: 19001528 bytes.
