timestamp,namespace,pod,cpu(m),memory(Mi)
2026-01-24T04:40:46,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:40:46,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:40:46,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:40:48,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:40:48,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:40:48,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:40:51,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:40:51,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:40:51,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:40:53,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:40:53,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:40:53,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:40:56,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:40:56,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:40:56,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:40:59,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:40:59,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:40:59,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:41:01,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:41:01,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:41:01,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:41:04,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:41:04,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:41:04,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:41:06,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:41:06,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:41:06,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:41:09,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:41:09,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:41:09,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:41:11,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:41:11,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:41:11,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:41:14,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:41:14,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:41:14,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:41:16,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:41:16,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:41:16,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:41:19,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:41:19,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:41:19,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:41:21,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:41:21,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:41:21,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:41:24,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:41:24,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:41:24,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:41:26,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:41:26,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:41:26,minishop,product-service-5b66b9564b-h8x4v,19,162
2026-01-24T04:41:29,minishop,gateway-service-68ff9dfb68-kmm59,78,192
2026-01-24T04:41:29,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:41:29,minishop,product-service-5b66b9564b-h8x4v,19,162
