NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   72m          190Mi           
gateway-service-967d96996-k74qq   9m           184Mi           
gateway-service-967d96996-n57zq   6m           186Mi           
gateway-service-967d96996-qn2vb   128m         186Mi           
gateway-service-967d96996-wg25k   29m          220Mi           
gateway-service-967d96996-xscps   68m          191Mi           
order-service-6957cffc98-r2np5    21m          185Mi           
product-service-bfd76d8d7-qjc46   18m          179Mi           
