NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   5m           193Mi           
gateway-service-967d96996-k74qq   16m          197Mi           
gateway-service-967d96996-n57zq   28m          192Mi           
gateway-service-967d96996-qn2vb   29m          191Mi           
gateway-service-967d96996-wg25k   4m           220Mi           
gateway-service-967d96996-xscps   4m           192Mi           
order-service-6957cffc98-r2np5    13m          186Mi           
product-service-bfd76d8d7-qjc46   10m          180Mi           
