NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   176m         169Mi           
gateway-service-967d96996-k74qq   51m          168Mi           
gateway-service-967d96996-n57zq   113m         173Mi           
gateway-service-967d96996-qn2vb   61m          155Mi           
gateway-service-967d96996-wg25k   32m          220Mi           
gateway-service-967d96996-xscps   91m          169Mi           
order-service-6957cffc98-r2np5    48m          184Mi           
product-service-bfd76d8d7-qjc46   46m          179Mi           
