NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   38m          162Mi           
gateway-service-967d96996-k74qq   83m          168Mi           
gateway-service-967d96996-n57zq   36m          171Mi           
gateway-service-967d96996-qn2vb   34m          152Mi           
gateway-service-967d96996-wg25k   23m          220Mi           
gateway-service-967d96996-xscps   39m          168Mi           
order-service-6957cffc98-r2np5    19m          184Mi           
product-service-bfd76d8d7-qjc46   20m          178Mi           
