NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   152m         183Mi           
gateway-service-967d96996-k74qq   160m         185Mi           
gateway-service-967d96996-n57zq   118m         187Mi           
gateway-service-967d96996-qn2vb   113m         184Mi           
gateway-service-967d96996-wg25k   27m          220Mi           
gateway-service-967d96996-xscps   111m         190Mi           
order-service-6957cffc98-r2np5    62m          185Mi           
product-service-bfd76d8d7-qjc46   55m          179Mi           
