NAME                               CPU(cores)   MEMORY(bytes)   
gateway-service-68ff9dfb68-kmm59   6m           238Mi           
gateway-service-68ff9dfb68-tm95v   18m          153Mi           
gateway-service-68ff9dfb68-z8dgl   19m          159Mi           
gateway-service-68ff9dfb68-zr9kw   32m          176Mi           
order-service-578dc67d78-72wvq     8m           134Mi           
order-service-578dc67d78-bffmv     13m          184Mi           
order-service-578dc67d78-gqgdt     8m           135Mi           
product-service-5b66b9564b-pklfg   12m          156Mi           
product-service-5b66b9564b-sp2j6   7m           129Mi           
product-service-5b66b9564b-vbvf5   7m           132Mi           
