NAME                               CPU(cores)   MEMORY(bytes)   
gateway-service-68ff9dfb68-kmm59   4m           238Mi           
gateway-service-68ff9dfb68-tm95v   19m          153Mi           
gateway-service-68ff9dfb68-z8dgl   17m          158Mi           
gateway-service-68ff9dfb68-zr9kw   20m          175Mi           
order-service-578dc67d78-72wvq     7m           133Mi           
order-service-578dc67d78-bffmv     4m           184Mi           
order-service-578dc67d78-gqgdt     8m           135Mi           
product-service-5b66b9564b-pklfg   4m           156Mi           
product-service-5b66b9564b-sp2j6   8m           129Mi           
product-service-5b66b9564b-vbvf5   7m           131Mi           
