NAME                               CPU(cores)   MEMORY(bytes)   
gateway-service-68ff9dfb68-kmm59   10m          238Mi           
gateway-service-68ff9dfb68-tm95v   69m          164Mi           
gateway-service-68ff9dfb68-z8dgl   69m          163Mi           
gateway-service-68ff9dfb68-zr9kw   33m          176Mi           
order-service-578dc67d78-72wvq     6m           134Mi           
order-service-578dc67d78-bffmv     4m           184Mi           
order-service-578dc67d78-gqgdt     7m           135Mi           
product-service-5b66b9564b-pklfg   7m           156Mi           
product-service-5b66b9564b-sp2j6   7m           129Mi           
product-service-5b66b9564b-vbvf5   9m           132Mi           
