NAME                               CPU(cores)   MEMORY(bytes)   
gateway-service-68ff9dfb68-kmm59   14m          238Mi           
gateway-service-68ff9dfb68-tm95v   53m          142Mi           
gateway-service-68ff9dfb68-z8dgl   59m          149Mi           
gateway-service-68ff9dfb68-zr9kw   64m          166Mi           
order-service-578dc67d78-72wvq     10m          132Mi           
order-service-578dc67d78-bffmv     4m           184Mi           
order-service-578dc67d78-gqgdt     11m          132Mi           
product-service-5b66b9564b-pklfg   4m           156Mi           
product-service-5b66b9564b-sp2j6   10m          127Mi           
product-service-5b66b9564b-vbvf5   10m          130Mi           
