NAME                               CPU(cores)   MEMORY(bytes)   
gateway-service-68ff9dfb68-kmm59   17m          238Mi           
gateway-service-68ff9dfb68-tm95v   66m          150Mi           
gateway-service-68ff9dfb68-z8dgl   69m          166Mi           
gateway-service-68ff9dfb68-zr9kw   71m          162Mi           
order-service-578dc67d78-72wvq     11m          132Mi           
order-service-578dc67d78-bffmv     4m           184Mi           
order-service-578dc67d78-gqgdt     10m          132Mi           
product-service-5b66b9564b-pklfg   4m           156Mi           
product-service-5b66b9564b-sp2j6   11m          126Mi           
product-service-5b66b9564b-vbvf5   13m          129Mi           
