LAST SEEN   TYPE      REASON              OBJECT                                  MESSAGE
13m         Normal    Started             pod/fortio-f564c2d3                     Started container fortio-f564c2d3
13m         Normal    Created             pod/fortio-f564c2d3                     Created container: fortio-f564c2d3
13m         Normal    Pulled              pod/fortio-f564c2d3                     Container image "fortio/fortio:1.63.0" already present on machine
12m         Normal    Scheduled           pod/fortio-02af395d                     Successfully assigned minishop/fortio-02af395d to minikube
12m         Normal    Pulled              pod/fortio-02af395d                     Container image "fortio/fortio:1.63.0" already present on machine
12m         Normal    Started             pod/fortio-02af395d                     Started container fortio-02af395d
12m         Normal    Created             pod/fortio-02af395d                     Created container: fortio-02af395d
12m         Normal    Scheduled           pod/fortio-1fdb3e76                     Successfully assigned minishop/fortio-1fdb3e76 to minikube
12m         Normal    Created             pod/fortio-1fdb3e76                     Created container: fortio-1fdb3e76
12m         Normal    Pulled              pod/fortio-1fdb3e76                     Container image "fortio/fortio:1.63.0" already present on machine
12m         Normal    Started             pod/fortio-1fdb3e76                     Started container fortio-1fdb3e76
11m         Normal    Scheduled           pod/nettest                             Successfully assigned minishop/nettest to minikube
11m         Normal    Started             pod/nettest                             Started container nettest
11m         Normal    Created             pod/nettest                             Created container: nettest
11m         Normal    Pulled              pod/nettest                             Container image "busybox:1.36" already present on machine
11m         Normal    Scheduled           pod/fortio-b1572f9c                     Successfully assigned minishop/fortio-b1572f9c to minikube
11m         Normal    Created             pod/fortio-b1572f9c                     Created container: fortio-b1572f9c
11m         Normal    Pulled              pod/fortio-b1572f9c                     Container image "fortio/fortio:1.63.0" already present on machine
11m         Normal    Started             pod/fortio-b1572f9c                     Started container fortio-b1572f9c
11m         Normal    Scheduled           pod/gateway-service-68ff9dfb68-hvzqb    Successfully assigned minishop/gateway-service-68ff9dfb68-hvzqb to minikube
11m         Normal    SuccessfulRescale   horizontalpodautoscaler/gateway-hpa     New size: 3; reason: cpu resource utilization (percentage of request) above target
11m         Normal    Scheduled           pod/gateway-service-68ff9dfb68-4l79c    Successfully assigned minishop/gateway-service-68ff9dfb68-4l79c to minikube
11m         Normal    ScalingReplicaSet   deployment/gateway-service              Scaled up replica set gateway-service-68ff9dfb68 from 1 to 3
11m         Normal    SuccessfulCreate    replicaset/gateway-service-68ff9dfb68   Created pod: gateway-service-68ff9dfb68-4l79c
11m         Normal    SuccessfulCreate    replicaset/gateway-service-68ff9dfb68   Created pod: gateway-service-68ff9dfb68-hvzqb
11m         Normal    Created             pod/gateway-service-68ff9dfb68-hvzqb    Created container: gateway-service
11m         Normal    Created             pod/gateway-service-68ff9dfb68-4l79c    Created container: gateway-service
11m         Normal    Pulled              pod/gateway-service-68ff9dfb68-4l79c    Container image "minishop/gateway-service:0.1" already present on machine
11m         Normal    Pulled              pod/gateway-service-68ff9dfb68-hvzqb    Container image "minishop/gateway-service:0.1" already present on machine
11m         Normal    Scheduled           pod/fortio-5f081bad                     Successfully assigned minishop/fortio-5f081bad to minikube
11m         Normal    Started             pod/gateway-service-68ff9dfb68-4l79c    Started container gateway-service
11m         Normal    Started             pod/gateway-service-68ff9dfb68-hvzqb    Started container gateway-service
11m         Normal    Created             pod/fortio-5f081bad                     Created container: fortio-5f081bad
11m         Normal    Pulled              pod/fortio-5f081bad                     Container image "fortio/fortio:1.63.0" already present on machine
11m         Normal    Started             pod/fortio-5f081bad                     Started container fortio-5f081bad
10m         Warning   Unhealthy           pod/gateway-service-68ff9dfb68-4l79c    Startup probe failed: Get "http://10.244.2.212:8081/actuator/health": dial tcp 10.244.2.212:8081: connect: connection refused
