pattern,strategy,segment,reps,avg_mean,avg_std,p50_mean,p50_std,p90_mean,p90_std,p99_mean,p99_std,qps_mean,qps_std,errors_sum
daynight,baseline,day,5,61.7564,11.736276466580023,66.84020000000001,7.850918908000517,112.46220000000001,20.08111874871517,194.05559999999997,65.82051546668409,29.967200000000002,0.0010954451150105562,0
daynight,baseline,night_1,5,58.9292,12.355074390710888,66.0294,11.579278466294866,104.5838,7.6242455167708245,160.3484,41.73129299218992,9.979800000000001,0.007259476565152309,0
daynight,baseline,night_2,5,60.733399999999996,9.467211748978679,67.2292,6.779719514847203,105.5116,6.91299032980663,220.8394,111.40221196547222,9.9834,0.0005477225575049706,0
daynight,hybrid,day,5,12.530199999999999,1.4290261369198258,9.791,0.34480936762216896,16.1792,3.411832821226739,79.01759999999999,13.236308333519583,29.995799999999996,0.0008366600265333641,0
daynight,hybrid,night_1,5,13.9946,3.7558306404842057,9.887,0.37749635759832223,17.522399999999998,5.48869595623587,116.1756,77.6546995055676,9.9978,0.00044721359549949495,1
daynight,hybrid,night_2,5,13.991199999999997,3.7815786650551106,10.0486,0.9649224321156598,22.2584,12.213133680591563,86.90799999999999,32.759364126917966,9.9938,0.007224956747275129,0
daynight,proactive,day,5,21.119999999999997,9.783497329687375,12.3542,2.4420630008253275,44.39960000000001,32.396489490375345,130.1866,90.45635657210609,29.9954,0.0008944271909984768,0
daynight,proactive,night_1,5,19.2716,5.982071321875058,12.0714,1.8277054740849252,34.3748,23.578245083126944,124.71700000000001,36.45790990992216,9.992799999999999,0.008348652585896513,0
daynight,proactive,night_2,5,14.1196,3.4862729095697613,10.930600000000002,1.27184071329707,18.392599999999998,5.736156927769673,74.46520000000001,32.56760101235582,9.997399999999999,0.0005477225575051464,0
daynight,reactive,day,4,68.267,58.85795174259238,38.326499999999996,40.30970417901872,171.376,153.4512745792618,351.03525,302.41722646852753,29.5955,0.7770699239236233,0
daynight,reactive,night_1,5,51.509,40.64213839723496,42.8666,39.673940172359984,96.4472,69.231868226995,308.7532,313.84079410538715,9.9882,0.012755391017134488,0
daynight,reactive,night_2,5,41.911,37.92376994050038,15.890199999999998,4.116833941270889,111.7376,122.70620171083448,252.9096,219.88334615268158,9.9964,0.0011401754250993045,0
spike,baseline,low_1,5,62.702,5.272970178182313,71.3474,5.283934499972533,107.4662,4.749106042193627,180.9272,15.521493700671988,9.9834,0.0008944271910006118,0
spike,baseline,low_2,5,61.63199999999999,2.273438365120109,70.8536,1.1011400001816278,105.7148,3.386250389442575,166.4474,40.49385550673089,9.983799999999999,0.00044721359549949495,0
spike,baseline,spike,5,127.9088,45.725649275871405,123.494,46.79403340704881,203.43959999999998,57.05210837296023,297.5336,70.83440629595196,57.1548,3.838984071339706,0
spike,hybrid,low_1,5,24.6452,17.187840722440964,14.0424,2.4258418744839902,39.58,33.060881257159494,182.0454,219.49933270012463,9.997,0.0012247448713920133,0
spike,hybrid,low_2,5,36.4758,35.4004709036476,16.0644,6.147456449622071,72.0886,69.4685456541304,411.1334,667.2588395651271,9.9962,0.001483239697418877,0
spike,hybrid,spike,5,25.2632,11.470012868345004,13.473400000000002,2.738733795022802,56.10940000000001,36.51592779596323,160.1518,95.95477989240557,59.886,0.14866236914565992,0
spike,proactive,low_1,4,18.6435,3.632200847970828,13.992,0.7471858314145597,36.891999999999996,25.68461917179229,84.1735,26.340811206187254,9.99025,0.00736545993132721,0
spike,proactive,low_2,5,17.3422,2.1303408647444195,13.8476,0.9403373330885033,24.321199999999997,3.9782826319908433,81.5952,23.05165829609662,9.9944,0.005856620185737933,0
spike,proactive,spike,3,21.278333333333332,0.6226438254197447,14.429333333333332,0.7684167705960957,36.175999999999995,3.2079209778297213,113.16666666666667,16.735690405039563,59.937999999999995,0.025709920264366352,0
spike,reactive,low_1,5,63.427200000000006,54.369451819932856,50.7554,44.36923098048917,117.22260000000001,109.31311353538514,255.74439999999998,255.5938196813452,9.9836,0.008961026726887816,0
spike,reactive,low_2,3,38.784333333333336,36.13141915747752,39.007,39.87554464831798,54.839333333333336,54.37588320508765,123.18733333333334,73.07744714570518,9.991999999999999,0.006999999999999102,0
spike,reactive,spike,5,69.8712,57.554174415936146,52.438,60.008203822477476,140.9644,95.10899780672699,228.083,118.83836952769083,59.7846,0.21382071929539473,0
spike,reactive_old,low_1,5,56.3592,41.29086305346499,48.6686,41.13694752044688,107.7234,68.29090644295184,185.123,88.65747084425544,9.9826,0.009316651759081775,0
spike,reactive_old,low_2,4,32.77325,22.50864524836327,31.81325,28.74121017372094,51.53275,39.404180153675746,116.07050000000001,50.84930549837105,9.98975,0.006291528696058534,0
spike,reactive_old,spike,5,59.342999999999996,39.74765057836752,47.902,44.29500779997673,124.7464,81.0302683958285,200.4474,86.81165106597155,58.630399999999995,2.524132583680976,0
