"pattern","strategy","rep","segment","qps_req","qps_act","count","avg_ms","p50_ms","p90_ms","p99_ms","max_ms","code200","errors","start","file"
"daynight","proactive","rep2","night_2","10","9.988","600","4.307","2.857","6.222","25","150.526","600","0","2026-01-25T03:15:43.322192887Z","daynight\proactive\rep2\fortio_night_2.json"
"daynight","proactive","rep2","warmup","10","9.985","50","4.311","3.938","6.556","11.011","11.023","50","0","2026-01-25T03:12:29.974278059Z","daynight\proactive\rep2\fortio_warmup.json"
"daynight","proactive","rep3","day","30","29.999","2700","2.631","2.398","3.507","8.182","147.011","2700","0","2026-01-25T03:18:23.893730387Z","daynight\proactive\rep3\fortio_day.json"
"daynight","proactive","rep3","night_1","10","10","600","2.746","2.432","3.91","10","19.048","600","0","2026-01-25T03:17:12.384971023Z","daynight\proactive\rep3\fortio_night_1.json"
"daynight","proactive","rep3","night_2","10","9.999","600","2.766","2.553","3.919","8.2","9.45","600","0","2026-01-25T03:20:07.086001106Z","daynight\proactive\rep3\fortio_night_2.json"
"daynight","proactive","rep3","warmup","10","9.991","50","6.045","2.724","18","25.651","25.744","50","0","2026-01-25T03:16:55.70124444Z","daynight\proactive\rep3\fortio_warmup.json"
"daynight","reactive","rep1","day","30","29.999","2700","2.23","1.764","2.877","10","44.667","2700","0","2026-01-25T02:45:25.071226347Z","daynight\reactive\rep1\fortio_day.json"
"daynight","reactive","rep1","night_1","10","9.999","600","2.625","1.991","3.625","9.667","70.535","600","0","2026-01-25T02:44:11.849863642Z","daynight\reactive\rep1\fortio_night_1.json"
"daynight","reactive","rep1","night_2","10","9.999","600","2.054","1.752","2.921","6.8","8.211","600","0","2026-01-25T02:47:09.165486112Z","daynight\reactive\rep1\fortio_night_2.json"
"daynight","reactive","rep1","warmup","10","9.993","50","6.159","2.429","8.333","51.833","52.2","50","0","2026-01-25T02:43:54.293102018Z","daynight\reactive\rep1\fortio_warmup.json"
"daynight","reactive","rep2","day","30","29.999","2700","2.061","1.683","2.701","9","30.963","2700","0","2026-01-25T02:49:54.607803742Z","daynight\reactive\rep2\fortio_day.json"
"daynight","reactive","rep2","night_1","10","10","600","2.057","1.885","2.889","5","9.048","600","0","2026-01-25T02:48:42.347452039Z","daynight\reactive\rep2\fortio_night_1.json"
"daynight","reactive","rep2","night_2","10","10","600","1.905","1.756","2.712","3.889","11.666","600","0","2026-01-25T02:51:38.990694925Z","daynight\reactive\rep2\fortio_night_2.json"
"daynight","reactive","rep2","warmup","10","9.992","50","2.091","2.115","2.885","3.546","3.728","50","0","2026-01-25T02:48:25.206020436Z","daynight\reactive\rep2\fortio_warmup.json"
"daynight","reactive","rep3","day","30","29.999","2700","2.022","1.686","2.831","7.231","20.55","2700","0","2026-01-25T02:54:20.808787818Z","daynight\reactive\rep3\fortio_day.json"
"daynight","reactive","rep3","night_1","10","9.999","600","2.006","1.699","2.766","8.5","17.299","600","0","2026-01-25T02:53:06.873357914Z","daynight\reactive\rep3\fortio_night_1.json"
"daynight","reactive","rep3","night_2","10","9.999","600","2.099","1.765","2.974","7","7.236","600","0","2026-01-25T02:56:04.705370609Z","daynight\reactive\rep3\fortio_night_2.json"
"daynight","reactive","rep3","warmup","10","9.975","50","3.031","2","5","11.421","11.481","50","0","2026-01-25T02:52:52.31403384Z","daynight\reactive\rep3\fortio_warmup.json"
"spike","baseline","rep1","low_1","10","9.999","600","2.161","1.907","2.866","8.194","8.778","600","0","2026-01-25T02:07:45.968301877Z","spike\baseline\rep1\fortio_low_1.json"
"spike","baseline","rep1","low_2","10","9.999","600","3.007","2.431","5.107","9.25","52.859","600","0","2026-01-25T02:09:41.904419204Z","spike\baseline\rep1\fortio_low_2.json"
"spike","baseline","rep1","spike","60","59.994","1800","2.282","2.07","2.989","6.88","9.034","1800","0","2026-01-25T02:08:59.013628113Z","spike\baseline\rep1\fortio_spike.json"
"spike","baseline","rep1","warmup","10","9.992","50","2.05","2.12","2.6","2.708","2.72","50","0","2026-01-25T02:07:28.666907673Z","spike\baseline\rep1\fortio_warmup.json"
"spike","baseline","rep2","low_1","10","9.999","600","2.176","2.068","2.925","3.971","9.56","600","0","2026-01-25T02:11:11.376809571Z","spike\baseline\rep2\fortio_low_1.json"
"spike","baseline","rep2","low_2","10","10","600","2.107","1.958","2.864","4.667","8.087","600","0","2026-01-25T02:13:05.361455074Z","spike\baseline\rep2\fortio_low_2.json"
