pattern,strategy,segment,reps,avg_mean,avg_std,p50_mean,p50_std,p90_mean,p90_std,p99_mean,p99_std,qps_mean,qps_std,errors_sum
daynight,baseline,day,3,51.773,6.084724069339541,45.004,25.39358326428155,98.32533333333332,2.290077800716237,153.77333333333334,38.65994902134938,29.967,0.0,0
daynight,baseline,night_1,3,55.772333333333336,11.81527783563863,60.41366666666667,13.19332256610644,103.08266666666668,7.740734224434616,138.7516666666667,43.81281229655696,9.984,0.0009999999999994,0
daynight,baseline,night_2,3,48.14966666666667,2.236201541304653,41.73333333333333,20.86656017012228,98.16433333333332,0.8323709109125156,111.97333333333334,6.262413059942104,9.983333333333334,0.0005773502691885,0
daynight,hybrid,day,3,403.6553333333333,158.79062283501924,350.732,167.92207846796083,734.3299999999999,223.9413296803428,1518.4046666666666,523.2525172135662,22.597,5.10365320138428,2
daynight,hybrid,night_1,3,133.52666666666667,45.08694767150836,127.89866666666668,51.636716726892445,261.0296666666666,68.00848397320243,395.8333333333333,104.83121354507604,9.966333333333331,0.0230289672658868,0
daynight,hybrid,night_2,3,277.559,46.19003445549698,262.8583333333333,64.49358038078934,552.4136666666667,69.52760142801803,814.1750000000001,54.620829003229154,9.928666666666668,0.0646709620566554,0
daynight,proactive,day,3,219.006,114.11537773674502,204.57433333333333,112.9018760886343,379.2766666666666,171.96924990920132,620.9193333333334,214.072808582345,29.404,0.6856172401566347,0
daynight,proactive,night_1,2,201.9,47.599600082353625,190.325,24.030316851843622,360.498,109.50679877523586,582.5,222.73863607376248,9.966,0.0,0
daynight,proactive,night_2,3,59.90966666666666,9.014503998187218,65.641,11.823589598763991,106.751,7.170663567620512,183.29866666666663,44.36036493688181,9.986333333333333,0.0037859388972008,0
daynight,reactive,day,3,70.069,9.28984397070263,58.059666666666665,31.7388251252836,120.842,11.816734870513098,294.9753333333333,46.73641532395625,29.94333333333333,0.0383970484976813,0
daynight,reactive,night_1,3,59.48433333333333,4.867895472720563,69.46933333333334,4.940404470621139,104.22033333333331,4.0374930753294604,145.31766666666667,24.035036391346143,9.983333333333334,0.0005773502691893,0
daynight,reactive,night_2,2,197.133,132.35624730249796,144.6905,89.31112199776689,490.7895,366.5790046095112,887.3834999999999,594.9829802141403,9.9675,0.0233345237791563,0
spike,baseline,low_1,3,57.929,3.786017564671352,66.968,2.812573732366855,105.184,3.0450740549287163,150.77133333333333,32.61539295077301,9.984666666666667,0.0037859388972008,0
spike,baseline,low_2,3,66.74133333333333,3.540887082827315,75.60966666666667,1.6938389337045372,109.96999999999998,2.8756002851578697,189.53633333333332,11.91649824123401,9.983,0.0,0
spike,baseline,spike,3,91.329,25.927101419171407,88.20666666666666,24.84770802978281,166.13766666666666,32.00163677584842,290.571,38.76512802764878,59.79933333333333,0.0015275252316487,0
spike,hybrid,low_1,3,100.99033333333334,33.052673996718234,90.355,23.752274396360445,203.096,80.22785101820936,320.8253333333333,101.30922076658834,9.971333333333334,0.0162583311976764,0
spike,hybrid,low_2,3,151.42333333333332,80.82405439801528,134.5476666666667,78.20639856388563,296.24333333333334,127.35699422227792,597.6853333333333,173.15144540353495,9.977,0.0078102496759063,0
spike,hybrid,spike,3,318.38033333333334,104.98207714811768,306.22766666666666,96.41852635429215,514.0476666666667,159.62780505392325,734.3843333333334,227.83964486966127,32.53766666666667,9.684402838241152,0
spike,proactive,low_1,2,271.138,29.39160046680005,262.3485,15.025311993432965,434.5865,59.014424851048034,676.6365000000001,37.66969955415093,9.9585,0.0091923881554244,0
spike,proactive,low_2,3,66.33633333333334,10.630140983699762,72.44600000000001,6.82594374427449,108.55533333333334,7.987660879965634,230.36133333333336,99.75335425605162,9.987,0.003464101615138,0
spike,proactive,spike,2,362.777,32.671161717943264,343.89300000000003,22.40679968223937,564.586,104.37886039807104,810.2719999999999,171.08872834877226,27.4535,2.476995054496475,0
spike,reactive,low_1,3,59.029,2.2688704238012343,67.69733333333333,2.8097680212667684,105.774,1.89130616241792,180.222,14.9119067526591,9.983,0.0009999999999998,0
spike,reactive,low_2,3,288.95533333333333,177.83773398897472,267.149,181.49886273197416,545.2726666666667,314.61575615714696,897.7853333333333,435.5375865575017,9.972666666666669,0.0073711147958316,0
spike,reactive,spike,3,87.21600000000001,24.965894876811447,85.891,18.755041428906527,159.11466666666666,47.69185093213864,244.413,86.77138760559266,59.13833333333333,0.5825807526286225,0
