timestamp,namespace,pod,cpu(m),memory(Mi)
2026-01-24T04:56:55,minishop,gateway-service-68ff9dfb68-4l79c,9,173
2026-01-24T04:56:55,minishop,gateway-service-68ff9dfb68-4ppdj,8,179
2026-01-24T04:56:55,minishop,gateway-service-68ff9dfb68-89grp,97,179
2026-01-24T04:56:55,minishop,gateway-service-68ff9dfb68-hvzqb,27,177
2026-01-24T04:56:55,minishop,gateway-service-68ff9dfb68-kmm59,6,192
2026-01-24T04:56:55,minishop,gateway-service-68ff9dfb68-z6rgf,35,176
2026-01-24T04:56:55,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:56:55,minishop,product-service-5b66b9564b-h8x4v,19,163
2026-01-24T04:56:57,minishop,gateway-service-68ff9dfb68-4l79c,9,173
2026-01-24T04:56:57,minishop,gateway-service-68ff9dfb68-4ppdj,8,179
2026-01-24T04:56:57,minishop,gateway-service-68ff9dfb68-89grp,97,179
2026-01-24T04:56:57,minishop,gateway-service-68ff9dfb68-hvzqb,27,177
2026-01-24T04:56:57,minishop,gateway-service-68ff9dfb68-kmm59,6,192
2026-01-24T04:56:57,minishop,gateway-service-68ff9dfb68-z6rgf,35,176
2026-01-24T04:56:57,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:56:57,minishop,product-service-5b66b9564b-h8x4v,19,163
2026-01-24T04:57:00,minishop,gateway-service-68ff9dfb68-4l79c,9,173
2026-01-24T04:57:00,minishop,gateway-service-68ff9dfb68-4ppdj,8,179
2026-01-24T04:57:00,minishop,gateway-service-68ff9dfb68-89grp,97,179
2026-01-24T04:57:00,minishop,gateway-service-68ff9dfb68-hvzqb,27,177
2026-01-24T04:57:00,minishop,gateway-service-68ff9dfb68-kmm59,6,192
2026-01-24T04:57:00,minishop,gateway-service-68ff9dfb68-z6rgf,35,176
2026-01-24T04:57:00,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:57:00,minishop,product-service-5b66b9564b-h8x4v,19,163
2026-01-24T04:57:02,minishop,gateway-service-68ff9dfb68-4l79c,9,173
2026-01-24T04:57:02,minishop,gateway-service-68ff9dfb68-4ppdj,8,179
2026-01-24T04:57:02,minishop,gateway-service-68ff9dfb68-89grp,97,179
2026-01-24T04:57:02,minishop,gateway-service-68ff9dfb68-hvzqb,27,177
2026-01-24T04:57:02,minishop,gateway-service-68ff9dfb68-kmm59,6,192
2026-01-24T04:57:02,minishop,gateway-service-68ff9dfb68-z6rgf,35,176
2026-01-24T04:57:02,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:57:02,minishop,product-service-5b66b9564b-h8x4v,19,163
2026-01-24T04:57:05,minishop,gateway-service-68ff9dfb68-4l79c,9,173
2026-01-24T04:57:05,minishop,gateway-service-68ff9dfb68-4ppdj,8,179
2026-01-24T04:57:05,minishop,gateway-service-68ff9dfb68-89grp,97,179
2026-01-24T04:57:05,minishop,gateway-service-68ff9dfb68-hvzqb,27,177
2026-01-24T04:57:05,minishop,gateway-service-68ff9dfb68-kmm59,6,192
2026-01-24T04:57:05,minishop,gateway-service-68ff9dfb68-z6rgf,35,176
2026-01-24T04:57:05,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:57:05,minishop,product-service-5b66b9564b-h8x4v,19,163
2026-01-24T04:57:07,minishop,gateway-service-68ff9dfb68-4l79c,9,173
2026-01-24T04:57:07,minishop,gateway-service-68ff9dfb68-4ppdj,8,179
2026-01-24T04:57:07,minishop,gateway-service-68ff9dfb68-89grp,97,179
2026-01-24T04:57:07,minishop,gateway-service-68ff9dfb68-hvzqb,27,177
2026-01-24T04:57:07,minishop,gateway-service-68ff9dfb68-kmm59,6,192
2026-01-24T04:57:07,minishop,gateway-service-68ff9dfb68-z6rgf,35,176
2026-01-24T04:57:07,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:57:07,minishop,product-service-5b66b9564b-h8x4v,19,163
2026-01-24T04:57:10,minishop,gateway-service-68ff9dfb68-4l79c,9,173
2026-01-24T04:57:10,minishop,gateway-service-68ff9dfb68-4ppdj,8,179
2026-01-24T04:57:10,minishop,gateway-service-68ff9dfb68-89grp,97,179
2026-01-24T04:57:10,minishop,gateway-service-68ff9dfb68-hvzqb,27,177
2026-01-24T04:57:10,minishop,gateway-service-68ff9dfb68-kmm59,6,192
2026-01-24T04:57:10,minishop,gateway-service-68ff9dfb68-z6rgf,35,176
2026-01-24T04:57:10,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:57:10,minishop,product-service-5b66b9564b-h8x4v,19,163
2026-01-24T04:57:12,minishop,gateway-service-68ff9dfb68-4l79c,9,173
2026-01-24T04:57:12,minishop,gateway-service-68ff9dfb68-4ppdj,8,179
2026-01-24T04:57:12,minishop,gateway-service-68ff9dfb68-89grp,97,179
2026-01-24T04:57:12,minishop,gateway-service-68ff9dfb68-hvzqb,27,177
2026-01-24T04:57:12,minishop,gateway-service-68ff9dfb68-kmm59,6,192
