NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   13m          242Mi           
gateway-service-967d96996-b4b4w   30m          147Mi           
gateway-service-967d96996-c9hmn   196m         153Mi           
gateway-service-967d96996-d2m2g   194m         152Mi           
order-service-6957cffc98-nxkmf    67m          126Mi           
order-service-6957cffc98-pbswg    90m          139Mi           
order-service-6957cffc98-r2np5    6m           205Mi           
product-service-bfd76d8d7-7d4n6   73m          133Mi           
product-service-bfd76d8d7-fpcgb   69m          130Mi           
product-service-bfd76d8d7-qjc46   7m           197Mi           
