LAST SEEN   TYPE      REASON              OBJECT                                  MESSAGE
2m36s       Normal    Created             pod/fortio-e95fc817                     Created container: fortio-e95fc817
2m35s       Normal    Started             pod/fortio-e95fc817                     Started container fortio-e95fc817
2m27s       Normal    Scheduled           pod/fortio-f564c2d3                     Successfully assigned minishop/fortio-f564c2d3 to minikube
2m26s       Normal    Pulled              pod/fortio-f564c2d3                     Container image "fortio/fortio:1.63.0" already present on machine
2m26s       Normal    Started             pod/fortio-f564c2d3                     Started container fortio-f564c2d3
2m26s       Normal    Created             pod/fortio-f564c2d3                     Created container: fortio-f564c2d3
106s        Normal    Scheduled           pod/fortio-02af395d                     Successfully assigned minishop/fortio-02af395d to minikube
105s        Normal    Pulled              pod/fortio-02af395d                     Container image "fortio/fortio:1.63.0" already present on machine
104s        Normal    Started             pod/fortio-02af395d                     Started container fortio-02af395d
104s        Normal    Created             pod/fortio-02af395d                     Created container: fortio-02af395d
96s         Normal    Scheduled           pod/fortio-1fdb3e76                     Successfully assigned minishop/fortio-1fdb3e76 to minikube
95s         Normal    Pulled              pod/fortio-1fdb3e76                     Container image "fortio/fortio:1.63.0" already present on machine
95s         Normal    Created             pod/fortio-1fdb3e76                     Created container: fortio-1fdb3e76
94s         Normal    Started             pod/fortio-1fdb3e76                     Started container fortio-1fdb3e76
54s         Normal    Scheduled           pod/nettest                             Successfully assigned minishop/nettest to minikube
52s         Normal    Started             pod/nettest                             Started container nettest
52s         Normal    Created             pod/nettest                             Created container: nettest
52s         Normal    Pulled              pod/nettest                             Container image "busybox:1.36" already present on machine
48s         Normal    Scheduled           pod/fortio-b1572f9c                     Successfully assigned minishop/fortio-b1572f9c to minikube
47s         Normal    Created             pod/fortio-b1572f9c                     Created container: fortio-b1572f9c
47s         Normal    Pulled              pod/fortio-b1572f9c                     Container image "fortio/fortio:1.63.0" already present on machine
46s         Normal    Started             pod/fortio-b1572f9c                     Started container fortio-b1572f9c
40s         Normal    Scheduled           pod/gateway-service-68ff9dfb68-4l79c    Successfully assigned minishop/gateway-service-68ff9dfb68-4l79c to minikube
40s         Normal    SuccessfulCreate    replicaset/gateway-service-68ff9dfb68   Created pod: gateway-service-68ff9dfb68-4l79c
40s         Normal    SuccessfulCreate    replicaset/gateway-service-68ff9dfb68   Created pod: gateway-service-68ff9dfb68-hvzqb
40s         Normal    ScalingReplicaSet   deployment/gateway-service              Scaled up replica set gateway-service-68ff9dfb68 from 1 to 3
40s         Normal    SuccessfulRescale   horizontalpodautoscaler/gateway-hpa     New size: 3; reason: cpu resource utilization (percentage of request) above target
40s         Normal    Scheduled           pod/gateway-service-68ff9dfb68-hvzqb    Successfully assigned minishop/gateway-service-68ff9dfb68-hvzqb to minikube
38s         Normal    Created             pod/gateway-service-68ff9dfb68-hvzqb    Created container: gateway-service
38s         Normal    Created             pod/gateway-service-68ff9dfb68-4l79c    Created container: gateway-service
38s         Normal    Pulled              pod/gateway-service-68ff9dfb68-4l79c    Container image "minishop/gateway-service:0.1" already present on machine
38s         Normal    Pulled              pod/gateway-service-68ff9dfb68-hvzqb    Container image "minishop/gateway-service:0.1" already present on machine
37s         Normal    Started             pod/gateway-service-68ff9dfb68-4l79c    Started container gateway-service
37s         Normal    Started             pod/gateway-service-68ff9dfb68-hvzqb    Started container gateway-service
37s         Normal    Scheduled           pod/fortio-5f081bad                     Successfully assigned minishop/fortio-5f081bad to minikube
36s         Normal    Started             pod/fortio-5f081bad                     Started container fortio-5f081bad
36s         Normal    Created             pod/fortio-5f081bad                     Created container: fortio-5f081bad
36s         Normal    Pulled              pod/fortio-5f081bad                     Container image "fortio/fortio:1.63.0" already present on machine
4s          Warning   Unhealthy           pod/gateway-service-68ff9dfb68-4l79c    Startup probe failed: Get "http://10.244.2.212:8081/actuator/health": dial tcp 10.244.2.212:8081: connect: connection refused
4s          Warning   Unhealthy           pod/gateway-service-68ff9dfb68-hvzqb    Startup probe failed: Get "http://10.244.2.213:8081/actuator/health": dial tcp 10.244.2.213:8081: connect: connection refused
