NAME                              READY   STATUS      RESTARTS        AGE     IP             NODE       NOMINATED NODE   READINESS GATES
fortio-low-1-6b1042cd             0/1     Completed   0               75s     10.244.2.211   minikube   <none>           <none>
fortio-low-1-b5398cef             0/1     Completed   0               153m    10.244.2.17    minikube   <none>           <none>
fortio-warmup-b6584730            0/1     Error       0               22d     <none>         minikube   <none>           <none>
gateway-service-967d96996-24crj   0/1     Running     0               12s     10.244.2.212   minikube   <none>           <none>
gateway-service-967d96996-4dt8c   0/1     Running     0               12s     10.244.2.214   minikube   <none>           <none>
gateway-service-967d96996-652wb   1/1     Running     3 (5h41m ago)   4d6h    10.244.1.93    minikube   <none>           <none>
gateway-service-967d96996-lg6th   1/1     Running     0               2m43s   10.244.2.208   minikube   <none>           <none>
gateway-service-967d96996-mzxhh   1/1     Running     0               2m43s   10.244.2.207   minikube   <none>           <none>
gateway-service-967d96996-p5vcr   0/1     Running     0               12s     10.244.2.213   minikube   <none>           <none>
order-service-6957cffc98-hcrdr    1/1     Running     0               2m43s   10.244.2.209   minikube   <none>           <none>
order-service-6957cffc98-r2np5    1/1     Running     4 (5h41m ago)   22d     10.244.1.95    minikube   <none>           <none>
product-service-bfd76d8d7-f2txl   1/1     Running     0               2m43s   10.244.2.210   minikube   <none>           <none>
product-service-bfd76d8d7-qjc46   1/1     Running     4 (5h41m ago)   22d     10.244.1.94    minikube   <none>           <none>
