timestamp,namespace,pod,cpu(m),memory(Mi)
2026-01-24T05:04:46,minishop,gateway-service-68ff9dfb68-4l79c,33,181
2026-01-24T05:04:46,minishop,gateway-service-68ff9dfb68-4ppdj,19,179
2026-01-24T05:04:46,minishop,gateway-service-68ff9dfb68-89grp,27,178
2026-01-24T05:04:46,minishop,gateway-service-68ff9dfb68-hvzqb,20,179
2026-01-24T05:04:46,minishop,gateway-service-68ff9dfb68-kmm59,15,192
2026-01-24T05:04:46,minishop,gateway-service-68ff9dfb68-z6rgf,34,180
2026-01-24T05:04:46,minishop,order-service-578dc67d78-bffmv,4,159
2026-01-24T05:04:46,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T05:04:49,minishop,gateway-service-68ff9dfb68-4l79c,33,181
2026-01-24T05:04:49,minishop,gateway-service-68ff9dfb68-4ppdj,19,179
2026-01-24T05:04:49,minishop,gateway-service-68ff9dfb68-89grp,27,178
2026-01-24T05:04:49,minishop,gateway-service-68ff9dfb68-hvzqb,20,179
2026-01-24T05:04:49,minishop,gateway-service-68ff9dfb68-kmm59,15,192
2026-01-24T05:04:49,minishop,gateway-service-68ff9dfb68-z6rgf,34,180
2026-01-24T05:04:49,minishop,order-service-578dc67d78-bffmv,4,159
2026-01-24T05:04:49,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T05:04:51,minishop,gateway-service-68ff9dfb68-4l79c,33,181
2026-01-24T05:04:51,minishop,gateway-service-68ff9dfb68-4ppdj,19,179
2026-01-24T05:04:51,minishop,gateway-service-68ff9dfb68-89grp,27,178
2026-01-24T05:04:51,minishop,gateway-service-68ff9dfb68-hvzqb,20,179
2026-01-24T05:04:51,minishop,gateway-service-68ff9dfb68-kmm59,15,192
2026-01-24T05:04:51,minishop,gateway-service-68ff9dfb68-z6rgf,34,180
2026-01-24T05:04:51,minishop,order-service-578dc67d78-bffmv,4,159
2026-01-24T05:04:51,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T05:04:54,minishop,gateway-service-68ff9dfb68-4l79c,33,181
2026-01-24T05:04:54,minishop,gateway-service-68ff9dfb68-4ppdj,19,179
2026-01-24T05:04:54,minishop,gateway-service-68ff9dfb68-89grp,27,178
2026-01-24T05:04:54,minishop,gateway-service-68ff9dfb68-hvzqb,20,179
2026-01-24T05:04:54,minishop,gateway-service-68ff9dfb68-kmm59,15,192
2026-01-24T05:04:54,minishop,gateway-service-68ff9dfb68-z6rgf,34,180
2026-01-24T05:04:54,minishop,order-service-578dc67d78-bffmv,4,159
2026-01-24T05:04:54,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T05:04:56,minishop,gateway-service-68ff9dfb68-4l79c,33,181
2026-01-24T05:04:56,minishop,gateway-service-68ff9dfb68-4ppdj,19,179
2026-01-24T05:04:56,minishop,gateway-service-68ff9dfb68-89grp,27,178
2026-01-24T05:04:56,minishop,gateway-service-68ff9dfb68-hvzqb,20,179
2026-01-24T05:04:56,minishop,gateway-service-68ff9dfb68-kmm59,15,192
2026-01-24T05:04:56,minishop,gateway-service-68ff9dfb68-z6rgf,34,180
2026-01-24T05:04:56,minishop,order-service-578dc67d78-bffmv,4,159
2026-01-24T05:04:56,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T05:04:58,minishop,gateway-service-68ff9dfb68-4l79c,33,181
2026-01-24T05:04:58,minishop,gateway-service-68ff9dfb68-4ppdj,19,179
2026-01-24T05:04:58,minishop,gateway-service-68ff9dfb68-89grp,27,178
2026-01-24T05:04:58,minishop,gateway-service-68ff9dfb68-hvzqb,20,179
2026-01-24T05:04:58,minishop,gateway-service-68ff9dfb68-kmm59,15,192
2026-01-24T05:04:58,minishop,gateway-service-68ff9dfb68-z6rgf,34,180
2026-01-24T05:04:58,minishop,order-service-578dc67d78-bffmv,4,159
2026-01-24T05:04:58,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T05:05:01,minishop,gateway-service-68ff9dfb68-4l79c,33,181
2026-01-24T05:05:01,minishop,gateway-service-68ff9dfb68-4ppdj,19,179
2026-01-24T05:05:01,minishop,gateway-service-68ff9dfb68-89grp,27,178
2026-01-24T05:05:01,minishop,gateway-service-68ff9dfb68-hvzqb,20,179
2026-01-24T05:05:01,minishop,gateway-service-68ff9dfb68-kmm59,15,192
2026-01-24T05:05:01,minishop,gateway-service-68ff9dfb68-z6rgf,34,180
2026-01-24T05:05:01,minishop,order-service-578dc67d78-bffmv,4,159
