LAST SEEN   TYPE      REASON              OBJECT                                  MESSAGE
25m         Normal    Created             pod/fortio-f564c2d3                     Created container: fortio-f564c2d3
25m         Normal    Pulled              pod/fortio-f564c2d3                     Container image "fortio/fortio:1.63.0" already present on machine
25m         Normal    Started             pod/fortio-f564c2d3                     Started container fortio-f564c2d3
24m         Normal    Scheduled           pod/fortio-02af395d                     Successfully assigned minishop/fortio-02af395d to minikube
24m         Normal    Pulled              pod/fortio-02af395d                     Container image "fortio/fortio:1.63.0" already present on machine
24m         Normal    Started             pod/fortio-02af395d                     Started container fortio-02af395d
24m         Normal    Created             pod/fortio-02af395d                     Created container: fortio-02af395d
24m         Normal    Scheduled           pod/fortio-1fdb3e76                     Successfully assigned minishop/fortio-1fdb3e76 to minikube
24m         Normal    Pulled              pod/fortio-1fdb3e76                     Container image "fortio/fortio:1.63.0" already present on machine
24m         Normal    Created             pod/fortio-1fdb3e76                     Created container: fortio-1fdb3e76
24m         Normal    Started             pod/fortio-1fdb3e76                     Started container fortio-1fdb3e76
23m         Normal    Scheduled           pod/nettest                             Successfully assigned minishop/nettest to minikube
23m         Normal    Started             pod/nettest                             Started container nettest
23m         Normal    Pulled              pod/nettest                             Container image "busybox:1.36" already present on machine
23m         Normal    Created             pod/nettest                             Created container: nettest
23m         Normal    Scheduled           pod/fortio-b1572f9c                     Successfully assigned minishop/fortio-b1572f9c to minikube
23m         Normal    Created             pod/fortio-b1572f9c                     Created container: fortio-b1572f9c
23m         Normal    Pulled              pod/fortio-b1572f9c                     Container image "fortio/fortio:1.63.0" already present on machine
23m         Normal    Started             pod/fortio-b1572f9c                     Started container fortio-b1572f9c
23m         Normal    SuccessfulRescale   horizontalpodautoscaler/gateway-hpa     New size: 3; reason: cpu resource utilization (percentage of request) above target
23m         Normal    Scheduled           pod/gateway-service-68ff9dfb68-hvzqb    Successfully assigned minishop/gateway-service-68ff9dfb68-hvzqb to minikube
23m         Normal    Scheduled           pod/gateway-service-68ff9dfb68-4l79c    Successfully assigned minishop/gateway-service-68ff9dfb68-4l79c to minikube
23m         Normal    ScalingReplicaSet   deployment/gateway-service              Scaled up replica set gateway-service-68ff9dfb68 from 1 to 3
23m         Normal    SuccessfulCreate    replicaset/gateway-service-68ff9dfb68   Created pod: gateway-service-68ff9dfb68-hvzqb
23m         Normal    SuccessfulCreate    replicaset/gateway-service-68ff9dfb68   Created pod: gateway-service-68ff9dfb68-4l79c
23m         Normal    Created             pod/gateway-service-68ff9dfb68-hvzqb    Created container: gateway-service
23m         Normal    Pulled              pod/gateway-service-68ff9dfb68-4l79c    Container image "minishop/gateway-service:0.1" already present on machine
23m         Normal    Pulled              pod/gateway-service-68ff9dfb68-hvzqb    Container image "minishop/gateway-service:0.1" already present on machine
23m         Normal    Created             pod/gateway-service-68ff9dfb68-4l79c    Created container: gateway-service
23m         Normal    Started             pod/gateway-service-68ff9dfb68-4l79c    Started container gateway-service
23m         Normal    Scheduled           pod/fortio-5f081bad                     Successfully assigned minishop/fortio-5f081bad to minikube
23m         Normal    Started             pod/gateway-service-68ff9dfb68-hvzqb    Started container gateway-service
23m         Normal    Pulled              pod/fortio-5f081bad                     Container image "fortio/fortio:1.63.0" already present on machine
23m         Normal    Started             pod/fortio-5f081bad                     Started container fortio-5f081bad
23m         Normal    Created             pod/fortio-5f081bad                     Created container: fortio-5f081bad
22m         Warning   Unhealthy           pod/gateway-service-68ff9dfb68-4l79c    Startup probe failed: Get "http://10.244.2.212:8081/actuator/health": dial tcp 10.244.2.212:8081: connect: connection refused
22m         Warning   Unhealthy           pod/gateway-service-68ff9dfb68-hvzqb    Startup probe failed: Get "http://10.244.2.213:8081/actuator/health": dial tcp 10.244.2.213:8081: connect: connection refused
22m         Normal    Scheduled           pod/fortio-368fabc0                     Successfully assigned minishop/fortio-368fabc0 to minikube
22m         Normal    Pulled              pod/fortio-368fabc0                     Container image "fortio/fortio:1.63.0" already present on machine
22m         Normal    Started             pod/fortio-368fabc0                     Started container fortio-368fabc0
22m         Normal    Created             pod/fortio-368fabc0                     Created container: fortio-368fabc0
22m         Warning   Unhealthy           pod/gateway-service-68ff9dfb68-4l79c    Startup probe failed: Get "http://10.244.2.212:8081/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
22m         Warning   Unhealthy           pod/gateway-service-68ff9dfb68-hvzqb    Startup probe failed: Get "http://10.244.2.213:8081/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
22m         Normal    Scheduled           pod/fortio-a26ed17b                     Successfully assigned minishop/fortio-a26ed17b to minikube
22m         Normal    Pulled              pod/fortio-a26ed17b                     Container image "fortio/fortio:1.63.0" already present on machine
22m         Normal    Created             pod/fortio-a26ed17b                     Created container: fortio-a26ed17b
22m         Normal    Started             pod/fortio-a26ed17b                     Started container fortio-a26ed17b
21m         Normal    Scheduled           pod/fortio-caebd375                     Successfully assigned minishop/fortio-caebd375 to minikube
21m         Normal    Pulled              pod/fortio-caebd375                     Container image "fortio/fortio:1.63.0" already present on machine
21m         Normal    Started             pod/fortio-caebd375                     Started container fortio-caebd375
21m         Normal    Created             pod/fortio-caebd375                     Created container: fortio-caebd375
21m         Normal    Scheduled           pod/fortio-f31489d2                     Successfully assigned minishop/fortio-f31489d2 to minikube
21m         Normal    Created             pod/fortio-f31489d2                     Created container: fortio-f31489d2
21m         Normal    Pulled              pod/fortio-f31489d2                     Container image "fortio/fortio:1.63.0" already present on machine
21m         Normal    Started             pod/fortio-f31489d2                     Started container fortio-f31489d2
