timestamp,namespace,pod,cpu(m),memory(Mi)
2026-01-24T04:56:24,minishop,gateway-service-68ff9dfb68-kmm59,20,192
2026-01-24T04:56:24,minishop,gateway-service-68ff9dfb68-z6rgf,53,176
2026-01-24T04:56:24,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:56:24,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T04:56:27,minishop,gateway-service-68ff9dfb68-4l79c,18,173
2026-01-24T04:56:27,minishop,gateway-service-68ff9dfb68-4ppdj,9,178
2026-01-24T04:56:27,minishop,gateway-service-68ff9dfb68-89grp,81,178
2026-01-24T04:56:27,minishop,gateway-service-68ff9dfb68-hvzqb,33,176
2026-01-24T04:56:27,minishop,gateway-service-68ff9dfb68-kmm59,20,192
2026-01-24T04:56:27,minishop,gateway-service-68ff9dfb68-z6rgf,53,176
2026-01-24T04:56:27,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:56:27,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T04:56:30,minishop,gateway-service-68ff9dfb68-4l79c,18,173
2026-01-24T04:56:30,minishop,gateway-service-68ff9dfb68-4ppdj,9,178
2026-01-24T04:56:30,minishop,gateway-service-68ff9dfb68-89grp,81,178
2026-01-24T04:56:30,minishop,gateway-service-68ff9dfb68-hvzqb,33,176
2026-01-24T04:56:30,minishop,gateway-service-68ff9dfb68-kmm59,20,192
2026-01-24T04:56:30,minishop,gateway-service-68ff9dfb68-z6rgf,53,176
2026-01-24T04:56:30,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:56:30,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T04:56:32,minishop,gateway-service-68ff9dfb68-4l79c,18,173
2026-01-24T04:56:32,minishop,gateway-service-68ff9dfb68-4ppdj,9,178
2026-01-24T04:56:32,minishop,gateway-service-68ff9dfb68-89grp,81,178
2026-01-24T04:56:32,minishop,gateway-service-68ff9dfb68-hvzqb,33,176
2026-01-24T04:56:32,minishop,gateway-service-68ff9dfb68-kmm59,20,192
2026-01-24T04:56:32,minishop,gateway-service-68ff9dfb68-z6rgf,53,176
2026-01-24T04:56:32,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:56:32,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T04:56:35,minishop,gateway-service-68ff9dfb68-4l79c,18,173
2026-01-24T04:56:35,minishop,gateway-service-68ff9dfb68-4ppdj,9,178
2026-01-24T04:56:35,minishop,gateway-service-68ff9dfb68-89grp,81,178
2026-01-24T04:56:35,minishop,gateway-service-68ff9dfb68-hvzqb,33,176
2026-01-24T04:56:35,minishop,gateway-service-68ff9dfb68-kmm59,20,192
2026-01-24T04:56:35,minishop,gateway-service-68ff9dfb68-z6rgf,53,176
2026-01-24T04:56:35,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:56:35,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T04:56:37,minishop,gateway-service-68ff9dfb68-4l79c,18,173
2026-01-24T04:56:37,minishop,gateway-service-68ff9dfb68-4ppdj,9,178
2026-01-24T04:56:37,minishop,gateway-service-68ff9dfb68-89grp,81,178
2026-01-24T04:56:37,minishop,gateway-service-68ff9dfb68-hvzqb,33,176
2026-01-24T04:56:37,minishop,gateway-service-68ff9dfb68-kmm59,20,192
2026-01-24T04:56:37,minishop,gateway-service-68ff9dfb68-z6rgf,53,176
2026-01-24T04:56:37,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:56:37,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T04:56:40,minishop,gateway-service-68ff9dfb68-4l79c,18,173
2026-01-24T04:56:40,minishop,gateway-service-68ff9dfb68-4ppdj,9,178
2026-01-24T04:56:40,minishop,gateway-service-68ff9dfb68-89grp,81,178
2026-01-24T04:56:40,minishop,gateway-service-68ff9dfb68-hvzqb,33,176
2026-01-24T04:56:40,minishop,gateway-service-68ff9dfb68-kmm59,20,192
2026-01-24T04:56:40,minishop,gateway-service-68ff9dfb68-z6rgf,53,176
2026-01-24T04:56:40,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:56:40,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T04:56:42,minishop,gateway-service-68ff9dfb68-4l79c,18,173
2026-01-24T04:56:42,minishop,gateway-service-68ff9dfb68-4ppdj,9,178
2026-01-24T04:56:42,minishop,gateway-service-68ff9dfb68-89grp,81,178
2026-01-24T04:56:42,minishop,gateway-service-68ff9dfb68-hvzqb,33,176
2026-01-24T04:56:42,minishop,gateway-service-68ff9dfb68-kmm59,20,192
2026-01-24T04:56:42,minishop,gateway-service-68ff9dfb68-z6rgf,53,176
2026-01-24T04:56:42,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:56:42,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T04:56:45,minishop,fortio-6d3f247e,25,4
2026-01-24T04:56:45,minishop,gateway-service-68ff9dfb68-4l79c,9,173
2026-01-24T04:56:45,minishop,gateway-service-68ff9dfb68-4ppdj,8,179
2026-01-24T04:56:45,minishop,gateway-service-68ff9dfb68-89grp,97,179
2026-01-24T04:56:45,minishop,gateway-service-68ff9dfb68-hvzqb,27,177
2026-01-24T04:56:45,minishop,gateway-service-68ff9dfb68-kmm59,6,192
2026-01-24T04:56:45,minishop,gateway-service-68ff9dfb68-z6rgf,35,176
2026-01-24T04:56:45,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:56:45,minishop,product-service-5b66b9564b-h8x4v,19,163
2026-01-24T04:56:47,minishop,fortio-6d3f247e,25,4
2026-01-24T04:56:47,minishop,gateway-service-68ff9dfb68-4l79c,9,173
2026-01-24T04:56:47,minishop,gateway-service-68ff9dfb68-4ppdj,8,179
2026-01-24T04:56:47,minishop,gateway-service-68ff9dfb68-89grp,97,179
2026-01-24T04:56:47,minishop,gateway-service-68ff9dfb68-hvzqb,27,177
2026-01-24T04:56:47,minishop,gateway-service-68ff9dfb68-kmm59,6,192
2026-01-24T04:56:47,minishop,gateway-service-68ff9dfb68-z6rgf,35,176
2026-01-24T04:56:47,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:56:47,minishop,product-service-5b66b9564b-h8x4v,19,163
