timestamp,deploy,replicas_ready,replicas_total
2026-01-24T02:59:17.1895008+01:00,ERROR,0,0
2026-01-24T02:59:17.2857283+01:00,ERROR,0,0
2026-01-24T02:59:17.2990648+01:00,ERROR,0,0
2026-01-24T02:59:17.3102718+01:00,ERROR,0,0
2026-01-24T02:59:17.3215648+01:00,ERROR,0,0
2026-01-24T02:59:17.3310239+01:00,ERROR,0,0
2026-01-24T02:59:17.3405648+01:00,ERROR,0,0
2026-01-24T02:59:17.3523551+01:00,ERROR,0,0
2026-01-24T02:59:17.3612751+01:00,ERROR,0,0
2026-01-24T02:59:17.3707950+01:00,ERROR,0,0
2026-01-24T02:59:17.3799753+01:00,ERROR,0,0
2026-01-24T02:59:17.3875100+01:00,ERROR,0,0
2026-01-24T02:59:17.3967395+01:00,ERROR,0,0
2026-01-24T02:59:17.4044073+01:00,ERROR,0,0
2026-01-24T02:59:17.4129602+01:00,ERROR,0,0
2026-01-24T02:59:17.4267370+01:00,ERROR,0,0
2026-01-24T02:59:17.4362746+01:00,ERROR,0,0
2026-01-24T02:59:17.4496147+01:00,ERROR,0,0
2026-01-24T02:59:17.4607409+01:00,ERROR,0,0
2026-01-24T02:59:17.4877890+01:00,ERROR,0,0
2026-01-24T02:59:17.5025976+01:00,ERROR,0,0
2026-01-24T02:59:17.5132058+01:00,ERROR,0,0
2026-01-24T02:59:17.5234438+01:00,ERROR,0,0
2026-01-24T02:59:17.5346525+01:00,ERROR,0,0
2026-01-24T02:59:17.5432021+01:00,ERROR,0,0
2026-01-24T02:59:17.5548751+01:00,ERROR,0,0
2026-01-24T02:59:17.5635702+01:00,ERROR,0,0
2026-01-24T02:59:17.5773434+01:00,ERROR,0,0
2026-01-24T02:59:17.5878953+01:00,ERROR,0,0
2026-01-24T02:59:17.6038729+01:00,ERROR,0,0
2026-01-24T02:59:17.6141577+01:00,ERROR,0,0
2026-01-24T02:59:17.6265465+01:00,ERROR,0,0
2026-01-24T02:59:17.6377306+01:00,ERROR,0,0
2026-01-24T02:59:17.6514730+01:00,ERROR,0,0
2026-01-24T02:59:17.6627555+01:00,ERROR,0,0
2026-01-24T02:59:17.6712964+01:00,ERROR,0,0
2026-01-24T02:59:17.6825436+01:00,ERROR,0,0
2026-01-24T02:59:17.6927229+01:00,ERROR,0,0
2026-01-24T02:59:17.7054165+01:00,ERROR,0,0
2026-01-24T02:59:17.7165709+01:00,ERROR,0,0
2026-01-24T02:59:17.7251078+01:00,ERROR,0,0
2026-01-24T02:59:17.7349477+01:00,ERROR,0,0
2026-01-24T02:59:17.7444871+01:00,ERROR,0,0
2026-01-24T02:59:17.7546933+01:00,ERROR,0,0
2026-01-24T02:59:17.7632283+01:00,ERROR,0,0
2026-01-24T02:59:17.7743710+01:00,ERROR,0,0
2026-01-24T02:59:17.7835348+01:00,ERROR,0,0
2026-01-24T02:59:17.7946174+01:00,ERROR,0,0
2026-01-24T02:59:17.8059036+01:00,ERROR,0,0
2026-01-24T02:59:17.8149807+01:00,ERROR,0,0
2026-01-24T02:59:17.8230753+01:00,ERROR,0,0
2026-01-24T02:59:17.8324293+01:00,ERROR,0,0
2026-01-24T02:59:17.8425287+01:00,ERROR,0,0
2026-01-24T02:59:17.8499837+01:00,ERROR,0,0
2026-01-24T02:59:17.8602629+01:00,ERROR,0,0
2026-01-24T02:59:17.8684579+01:00,ERROR,0,0
2026-01-24T02:59:17.8775214+01:00,ERROR,0,0
2026-01-24T02:59:17.8850659+01:00,ERROR,0,0
2026-01-24T02:59:17.8946035+01:00,ERROR,0,0
2026-01-24T02:59:17.9021389+01:00,ERROR,0,0
2026-01-24T02:59:17.9116737+01:00,ERROR,0,0
2026-01-24T02:59:17.9201806+01:00,ERROR,0,0
2026-01-24T02:59:17.9312508+01:00,ERROR,0,0
2026-01-24T02:59:17.9387904+01:00,ERROR,0,0
2026-01-24T02:59:17.9485571+01:00,ERROR,0,0
2026-01-24T02:59:17.9565485+01:00,ERROR,0,0
2026-01-24T02:59:17.9660781+01:00,ERROR,0,0
2026-01-24T02:59:17.9766017+01:00,ERROR,0,0
2026-01-24T02:59:17.9861443+01:00,ERROR,0,0
2026-01-24T02:59:17.9966744+01:00,ERROR,0,0
2026-01-24T02:59:18.0052077+01:00,ERROR,0,0
2026-01-24T02:59:18.0157333+01:00,ERROR,0,0
2026-01-24T02:59:18.0288012+01:00,ERROR,0,0
2026-01-24T02:59:18.0378627+01:00,ERROR,0,0
2026-01-24T02:59:18.0489182+01:00,ERROR,0,0
2026-01-24T02:59:18.0582487+01:00,ERROR,0,0
2026-01-24T02:59:18.0698089+01:00,ERROR,0,0
2026-01-24T02:59:18.0781494+01:00,ERROR,0,0
2026-01-24T02:59:18.0902266+01:00,ERROR,0,0
2026-01-24T02:59:18.1002885+01:00,ERROR,0,0
2026-01-24T02:59:18.1104892+01:00,ERROR,0,0
2026-01-24T02:59:18.1190267+01:00,ERROR,0,0
2026-01-24T02:59:18.1301011+01:00,ERROR,0,0
2026-01-24T02:59:18.1373610+01:00,ERROR,0,0
2026-01-24T02:59:18.1469590+01:00,ERROR,0,0
2026-01-24T02:59:18.1554843+01:00,ERROR,0,0
2026-01-24T02:59:18.1646314+01:00,ERROR,0,0
2026-01-24T02:59:18.1766938+01:00,ERROR,0,0
2026-01-24T02:59:18.1869221+01:00,ERROR,0,0
2026-01-24T02:59:18.1958073+01:00,ERROR,0,0
2026-01-24T02:59:18.2075973+01:00,ERROR,0,0
2026-01-24T02:59:18.2177245+01:00,ERROR,0,0
2026-01-24T02:59:18.2302059+01:00,ERROR,0,0
2026-01-24T02:59:18.2450757+01:00,ERROR,0,0
2026-01-24T02:59:18.2563374+01:00,ERROR,0,0
2026-01-24T02:59:18.2640842+01:00,ERROR,0,0
2026-01-24T02:59:18.2736206+01:00,ERROR,0,0
2026-01-24T02:59:18.2821635+01:00,ERROR,0,0
2026-01-24T02:59:18.2906777+01:00,ERROR,0,0
2026-01-24T02:59:18.3087813+01:00,ERROR,0,0
2026-01-24T02:59:18.3199686+01:00,ERROR,0,0
