timestamp,namespace,pod,cpu(m),memory(Mi)
2026-01-24T04:39:03,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:03,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:03,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:06,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:06,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:06,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:08,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:08,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:08,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:11,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:11,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:11,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:13,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:13,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:13,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:16,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:16,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:16,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:18,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:18,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:18,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:21,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:21,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:21,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:23,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:23,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:23,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:26,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:26,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:26,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:28,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:28,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:28,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:31,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:31,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:31,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:34,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:34,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:34,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:36,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:36,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:36,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:39,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:39,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:39,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:41,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:41,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:41,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:44,minishop,gateway-service-68ff9dfb68-kmm59,153,192
2026-01-24T04:39:44,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:44,minishop,product-service-5b66b9564b-h8x4v,35,162
2026-01-24T04:39:46,minishop,gateway-service-68ff9dfb68-kmm59,68,192
2026-01-24T04:39:46,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:39:46,minishop,product-service-5b66b9564b-h8x4v,16,162
