NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   20m          191Mi           
gateway-service-967d96996-k74qq   29m          195Mi           
gateway-service-967d96996-n57zq   11m          188Mi           
gateway-service-967d96996-qn2vb   16m          187Mi           
gateway-service-967d96996-wg25k   10m          220Mi           
gateway-service-967d96996-xscps   18m          192Mi           
order-service-6957cffc98-r2np5    11m          185Mi           
product-service-bfd76d8d7-qjc46   12m          179Mi           
