NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   42m          194Mi           
gateway-service-967d96996-k74qq   44m          197Mi           
gateway-service-967d96996-n57zq   13m          191Mi           
gateway-service-967d96996-qn2vb   13m          190Mi           
gateway-service-967d96996-wg25k   4m           220Mi           
gateway-service-967d96996-xscps   4m           192Mi           
order-service-6957cffc98-r2np5    14m          186Mi           
product-service-bfd76d8d7-qjc46   12m          180Mi           
