NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   18m          193Mi           
gateway-service-967d96996-k74qq   38m          197Mi           
gateway-service-967d96996-n57zq   18m          191Mi           
gateway-service-967d96996-qn2vb   9m           190Mi           
gateway-service-967d96996-wg25k   9m           220Mi           
gateway-service-967d96996-xscps   35m          193Mi           
order-service-6957cffc98-r2np5    12m          186Mi           
product-service-bfd76d8d7-qjc46   11m          180Mi           
