NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   68m          193Mi           
gateway-service-967d96996-k74qq   45m          197Mi           
gateway-service-967d96996-n57zq   55m          191Mi           
gateway-service-967d96996-qn2vb   45m          190Mi           
gateway-service-967d96996-wg25k   19m          220Mi           
gateway-service-967d96996-xscps   85m          194Mi           
order-service-6957cffc98-r2np5    41m          186Mi           
product-service-bfd76d8d7-qjc46   31m          180Mi           
