LAST SEEN   TYPE     REASON      OBJECT                       MESSAGE
7m          Normal   Scheduled   pod/nettest                  Successfully assigned minishop/nettest to minikube
6m59s       Normal   Started     pod/nettest                  Started container nettest
6m59s       Normal   Created     pod/nettest                  Created container: nettest
6m59s       Normal   Pulled      pod/nettest                  Container image "busybox:1.36" already present on machine
6m54s       Normal   Scheduled   pod/fortio-warmup-f7ad20e4   Successfully assigned minishop/fortio-warmup-f7ad20e4 to minikube
6m52s       Normal   Pulling     pod/fortio-warmup-f7ad20e4   Pulling image "fortio/fortio:latest"
6m51s       Normal   Pulled      pod/fortio-warmup-f7ad20e4   Successfully pulled image "fortio/fortio:latest" in 1.49s (1.49s including waiting). Image size: 19001528 bytes.
6m51s       Normal   Created     pod/fortio-warmup-f7ad20e4   Created container: fortio-warmup-f7ad20e4
6m50s       Normal   Started     pod/fortio-warmup-f7ad20e4   Started container fortio-warmup-f7ad20e4
6m37s       Normal   Scheduled   pod/fortio-low-1-de61f0c5    Successfully assigned minishop/fortio-low-1-de61f0c5 to minikube
6m36s       Normal   Pulling     pod/fortio-low-1-de61f0c5    Pulling image "fortio/fortio:latest"
6m34s       Normal   Created     pod/fortio-low-1-de61f0c5    Created container: fortio-low-1-de61f0c5
6m34s       Normal   Pulled      pod/fortio-low-1-de61f0c5    Successfully pulled image "fortio/fortio:latest" in 1.478s (1.478s including waiting). Image size: 19001528 bytes.
6m34s       Normal   Started     pod/fortio-low-1-de61f0c5    Started container fortio-low-1-de61f0c5
5m25s       Normal   Scheduled   pod/fortio-spike-08a72f53    Successfully assigned minishop/fortio-spike-08a72f53 to minikube
5m23s       Normal   Pulling     pod/fortio-spike-08a72f53    Pulling image "fortio/fortio:latest"
5m21s       Normal   Started     pod/fortio-spike-08a72f53    Started container fortio-spike-08a72f53
5m21s       Normal   Created     pod/fortio-spike-08a72f53    Created container: fortio-spike-08a72f53
5m21s       Normal   Pulled      pod/fortio-spike-08a72f53    Successfully pulled image "fortio/fortio:latest" in 1.447s (1.447s including waiting). Image size: 19001528 bytes.
4m42s       Normal   Scheduled   pod/fortio-low-2-7d35012f    Successfully assigned minishop/fortio-low-2-7d35012f to minikube
4m41s       Normal   Pulling     pod/fortio-low-2-7d35012f    Pulling image "fortio/fortio:latest"
4m40s       Normal   Pulled      pod/fortio-low-2-7d35012f    Successfully pulled image "fortio/fortio:latest" in 1.379s (1.379s including waiting). Image size: 19001528 bytes.
4m39s       Normal   Started     pod/fortio-low-2-7d35012f    Started container fortio-low-2-7d35012f
4m39s       Normal   Created     pod/fortio-low-2-7d35012f    Created container: fortio-low-2-7d35012f
3m29s       Normal   Scheduled   pod/fortio-warmup-e0147c63   Successfully assigned minishop/fortio-warmup-e0147c63 to minikube
3m28s       Normal   Pulling     pod/fortio-warmup-e0147c63   Pulling image "fortio/fortio:latest"
3m27s       Normal   Pulled      pod/fortio-warmup-e0147c63   Successfully pulled image "fortio/fortio:latest" in 1.403s (1.403s including waiting). Image size: 19001528 bytes.
3m27s       Normal   Created     pod/fortio-warmup-e0147c63   Created container: fortio-warmup-e0147c63
3m26s       Normal   Started     pod/fortio-warmup-e0147c63   Started container fortio-warmup-e0147c63
3m12s       Normal   Scheduled   pod/fortio-low-1-d8c2a094    Successfully assigned minishop/fortio-low-1-d8c2a094 to minikube
3m10s       Normal   Pulling     pod/fortio-low-1-d8c2a094    Pulling image "fortio/fortio:latest"
3m9s        Normal   Created     pod/fortio-low-1-d8c2a094    Created container: fortio-low-1-d8c2a094
3m9s        Normal   Pulled      pod/fortio-low-1-d8c2a094    Successfully pulled image "fortio/fortio:latest" in 1.376s (1.376s including waiting). Image size: 19001528 bytes.
3m8s        Normal   Started     pod/fortio-low-1-d8c2a094    Started container fortio-low-1-d8c2a094
118s        Normal   Scheduled   pod/fortio-spike-170ca9d4    Successfully assigned minishop/fortio-spike-170ca9d4 to minikube
117s        Normal   Pulling     pod/fortio-spike-170ca9d4    Pulling image "fortio/fortio:latest"
115s        Normal   Created     pod/fortio-spike-170ca9d4    Created container: fortio-spike-170ca9d4
115s        Normal   Pulled      pod/fortio-spike-170ca9d4    Successfully pulled image "fortio/fortio:latest" in 1.483s (1.483s including waiting). Image size: 19001528 bytes.
114s        Normal   Started     pod/fortio-spike-170ca9d4    Started container fortio-spike-170ca9d4
75s         Normal   Scheduled   pod/fortio-low-2-54276efa    Successfully assigned minishop/fortio-low-2-54276efa to minikube
74s         Normal   Pulling     pod/fortio-low-2-54276efa    Pulling image "fortio/fortio:latest"
72s         Normal   Pulled      pod/fortio-low-2-54276efa    Successfully pulled image "fortio/fortio:latest" in 1.415s (1.415s including waiting). Image size: 19001528 bytes.
72s         Normal   Created     pod/fortio-low-2-54276efa    Created container: fortio-low-2-54276efa
72s         Normal   Started     pod/fortio-low-2-54276efa    Started container fortio-low-2-54276efa
2s          Normal   Scheduled   pod/fortio-warmup-d1604bf3   Successfully assigned minishop/fortio-warmup-d1604bf3 to minikube
1s          Normal   Pulling     pod/fortio-warmup-d1604bf3   Pulling image "fortio/fortio:latest"
