NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   41m          176Mi           
gateway-service-967d96996-k74qq   123m         179Mi           
gateway-service-967d96996-n57zq   99m          182Mi           
gateway-service-967d96996-qn2vb   79m          183Mi           
gateway-service-967d96996-wg25k   43m          220Mi           
gateway-service-967d96996-xscps   94m          177Mi           
order-service-6957cffc98-r2np5    44m          185Mi           
product-service-bfd76d8d7-qjc46   31m          179Mi           
