NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   21m          175Mi           
gateway-service-967d96996-k74qq   59m          182Mi           
gateway-service-967d96996-n57zq   19m          181Mi           
gateway-service-967d96996-qn2vb   50m          172Mi           
gateway-service-967d96996-wg25k   13m          220Mi           
gateway-service-967d96996-xscps   22m          176Mi           
order-service-6957cffc98-r2np5    16m          184Mi           
product-service-bfd76d8d7-qjc46   12m          179Mi           
