timestamp,namespace,pod,cpu(m),memory(Mi)
2026-01-24T04:50:55,minishop,gateway-service-68ff9dfb68-4l79c,29,172
2026-01-24T04:50:55,minishop,gateway-service-68ff9dfb68-4ppdj,29,178
2026-01-24T04:50:55,minishop,gateway-service-68ff9dfb68-89grp,37,172
2026-01-24T04:50:55,minishop,gateway-service-68ff9dfb68-hvzqb,16,168
2026-01-24T04:50:55,minishop,gateway-service-68ff9dfb68-kmm59,17,192
2026-01-24T04:50:55,minishop,gateway-service-68ff9dfb68-z6rgf,27,172
2026-01-24T04:50:55,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:50:55,minishop,product-service-5b66b9564b-h8x4v,15,163
2026-01-24T04:50:58,minishop,gateway-service-68ff9dfb68-4l79c,29,172
2026-01-24T04:50:58,minishop,gateway-service-68ff9dfb68-4ppdj,29,178
2026-01-24T04:50:58,minishop,gateway-service-68ff9dfb68-89grp,37,172
2026-01-24T04:50:58,minishop,gateway-service-68ff9dfb68-hvzqb,16,168
2026-01-24T04:50:58,minishop,gateway-service-68ff9dfb68-kmm59,17,192
2026-01-24T04:50:58,minishop,gateway-service-68ff9dfb68-z6rgf,27,172
2026-01-24T04:50:58,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:50:58,minishop,product-service-5b66b9564b-h8x4v,15,163
2026-01-24T04:51:00,minishop,gateway-service-68ff9dfb68-4l79c,29,172
2026-01-24T04:51:00,minishop,gateway-service-68ff9dfb68-4ppdj,29,178
2026-01-24T04:51:00,minishop,gateway-service-68ff9dfb68-89grp,37,172
2026-01-24T04:51:00,minishop,gateway-service-68ff9dfb68-hvzqb,16,168
2026-01-24T04:51:00,minishop,gateway-service-68ff9dfb68-kmm59,17,192
2026-01-24T04:51:00,minishop,gateway-service-68ff9dfb68-z6rgf,27,172
2026-01-24T04:51:00,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:51:00,minishop,product-service-5b66b9564b-h8x4v,15,163
2026-01-24T04:51:03,minishop,gateway-service-68ff9dfb68-4l79c,29,172
2026-01-24T04:51:03,minishop,gateway-service-68ff9dfb68-4ppdj,29,178
2026-01-24T04:51:03,minishop,gateway-service-68ff9dfb68-89grp,37,172
2026-01-24T04:51:03,minishop,gateway-service-68ff9dfb68-hvzqb,16,168
2026-01-24T04:51:03,minishop,gateway-service-68ff9dfb68-kmm59,17,192
2026-01-24T04:51:03,minishop,gateway-service-68ff9dfb68-z6rgf,27,172
2026-01-24T04:51:03,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:51:03,minishop,product-service-5b66b9564b-h8x4v,15,163
2026-01-24T04:51:05,minishop,gateway-service-68ff9dfb68-4l79c,29,172
2026-01-24T04:51:05,minishop,gateway-service-68ff9dfb68-4ppdj,29,178
2026-01-24T04:51:05,minishop,gateway-service-68ff9dfb68-89grp,37,172
2026-01-24T04:51:05,minishop,gateway-service-68ff9dfb68-hvzqb,16,168
2026-01-24T04:51:05,minishop,gateway-service-68ff9dfb68-kmm59,17,192
2026-01-24T04:51:05,minishop,gateway-service-68ff9dfb68-z6rgf,27,172
2026-01-24T04:51:05,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:51:05,minishop,product-service-5b66b9564b-h8x4v,15,163
2026-01-24T04:51:08,minishop,gateway-service-68ff9dfb68-4l79c,29,172
2026-01-24T04:51:08,minishop,gateway-service-68ff9dfb68-4ppdj,29,178
2026-01-24T04:51:08,minishop,gateway-service-68ff9dfb68-89grp,37,172
2026-01-24T04:51:08,minishop,gateway-service-68ff9dfb68-hvzqb,16,168
2026-01-24T04:51:08,minishop,gateway-service-68ff9dfb68-kmm59,17,192
