NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   105m         153Mi           
gateway-service-967d96996-k74qq   174m         163Mi           
gateway-service-967d96996-n57zq   246m         168Mi           
gateway-service-967d96996-qn2vb   167m         158Mi           
gateway-service-967d96996-wg25k   79m          221Mi           
gateway-service-967d96996-xscps   37m          167Mi           
order-service-6957cffc98-r2np5    41m          184Mi           
product-service-bfd76d8d7-qjc46   42m          178Mi           
