NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-4lt6w   471m         98Mi            
gateway-service-967d96996-652wb   49m          243Mi           
gateway-service-967d96996-jbwkx   463m         100Mi           
gateway-service-967d96996-jgv9r   273m         163Mi           
gateway-service-967d96996-r9qj5   208m         166Mi           
order-service-6957cffc98-r2np5    16m          204Mi           
order-service-6957cffc98-rg5sw    102m         139Mi           
product-service-bfd76d8d7-mn9j7   84m          143Mi           
product-service-bfd76d8d7-qjc46   16m          199Mi           
