NAME                               CPU(cores)   MEMORY(bytes)   
gateway-service-68ff9dfb68-kmm59   14m          239Mi           
gateway-service-68ff9dfb68-tm95v   20m          167Mi           
gateway-service-68ff9dfb68-z8dgl   19m          170Mi           
gateway-service-68ff9dfb68-zr9kw   27m          173Mi           
order-service-578dc67d78-72wvq     7m           135Mi           
order-service-578dc67d78-bffmv     22m          184Mi           
order-service-578dc67d78-gqgdt     7m           140Mi           
product-service-5b66b9564b-pklfg   5m           157Mi           
product-service-5b66b9564b-sp2j6   7m           133Mi           
product-service-5b66b9564b-vbvf5   6m           134Mi           
