timestamp,namespace,pod,cpu(m),memory(Mi)
2026-01-24T04:54:22,minishop,gateway-service-68ff9dfb68-4l79c,17,173
2026-01-24T04:54:22,minishop,gateway-service-68ff9dfb68-4ppdj,36,180
2026-01-24T04:54:22,minishop,gateway-service-68ff9dfb68-89grp,16,176
2026-01-24T04:54:22,minishop,gateway-service-68ff9dfb68-hvzqb,17,170
2026-01-24T04:54:22,minishop,gateway-service-68ff9dfb68-kmm59,17,192
2026-01-24T04:54:22,minishop,gateway-service-68ff9dfb68-z6rgf,18,175
2026-01-24T04:54:22,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:54:22,minishop,product-service-5b66b9564b-h8x4v,12,163
2026-01-24T04:54:24,minishop,gateway-service-68ff9dfb68-4l79c,17,173
2026-01-24T04:54:24,minishop,gateway-service-68ff9dfb68-4ppdj,36,180
2026-01-24T04:54:24,minishop,gateway-service-68ff9dfb68-89grp,16,176
2026-01-24T04:54:24,minishop,gateway-service-68ff9dfb68-hvzqb,17,170
2026-01-24T04:54:24,minishop,gateway-service-68ff9dfb68-kmm59,17,192
2026-01-24T04:54:24,minishop,gateway-service-68ff9dfb68-z6rgf,18,175
2026-01-24T04:54:24,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:54:24,minishop,product-service-5b66b9564b-h8x4v,12,163
2026-01-24T04:54:27,minishop,gateway-service-68ff9dfb68-4l79c,17,173
2026-01-24T04:54:27,minishop,gateway-service-68ff9dfb68-4ppdj,36,180
2026-01-24T04:54:27,minishop,gateway-service-68ff9dfb68-89grp,16,176
2026-01-24T04:54:27,minishop,gateway-service-68ff9dfb68-hvzqb,17,170
2026-01-24T04:54:27,minishop,gateway-service-68ff9dfb68-kmm59,17,192
2026-01-24T04:54:27,minishop,gateway-service-68ff9dfb68-z6rgf,18,175
2026-01-24T04:54:27,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:54:27,minishop,product-service-5b66b9564b-h8x4v,12,163
2026-01-24T04:54:29,minishop,gateway-service-68ff9dfb68-4l79c,17,173
2026-01-24T04:54:29,minishop,gateway-service-68ff9dfb68-4ppdj,36,180
2026-01-24T04:54:29,minishop,gateway-service-68ff9dfb68-89grp,16,176
2026-01-24T04:54:29,minishop,gateway-service-68ff9dfb68-hvzqb,17,170
2026-01-24T04:54:29,minishop,gateway-service-68ff9dfb68-kmm59,17,192
2026-01-24T04:54:29,minishop,gateway-service-68ff9dfb68-z6rgf,18,175
2026-01-24T04:54:29,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:54:29,minishop,product-service-5b66b9564b-h8x4v,12,163
2026-01-24T04:54:32,minishop,gateway-service-68ff9dfb68-4l79c,17,173
2026-01-24T04:54:32,minishop,gateway-service-68ff9dfb68-4ppdj,36,180
2026-01-24T04:54:32,minishop,gateway-service-68ff9dfb68-89grp,16,176
2026-01-24T04:54:32,minishop,gateway-service-68ff9dfb68-hvzqb,17,170
2026-01-24T04:54:32,minishop,gateway-service-68ff9dfb68-kmm59,17,192
2026-01-24T04:54:32,minishop,gateway-service-68ff9dfb68-z6rgf,18,175
2026-01-24T04:54:32,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:54:32,minishop,product-service-5b66b9564b-h8x4v,12,163
2026-01-24T04:54:34,minishop,gateway-service-68ff9dfb68-4l79c,17,173
2026-01-24T04:54:34,minishop,gateway-service-68ff9dfb68-4ppdj,36,180
2026-01-24T04:54:34,minishop,gateway-service-68ff9dfb68-89grp,16,176
2026-01-24T04:54:34,minishop,gateway-service-68ff9dfb68-hvzqb,17,170
2026-01-24T04:54:34,minishop,gateway-service-68ff9dfb68-kmm59,17,192
2026-01-24T04:54:34,minishop,gateway-service-68ff9dfb68-z6rgf,18,175
2026-01-24T04:54:34,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:54:34,minishop,product-service-5b66b9564b-h8x4v,12,163
2026-01-24T04:54:37,minishop,gateway-service-68ff9dfb68-4l79c,17,173
2026-01-24T04:54:37,minishop,gateway-service-68ff9dfb68-4ppdj,36,180
