NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   18m          194Mi           
gateway-service-967d96996-k74qq   26m          197Mi           
gateway-service-967d96996-n57zq   21m          191Mi           
gateway-service-967d96996-qn2vb   4m           189Mi           
gateway-service-967d96996-wg25k   19m          221Mi           
gateway-service-967d96996-xscps   11m          193Mi           
order-service-6957cffc98-r2np5    17m          186Mi           
product-service-bfd76d8d7-qjc46   14m          180Mi           
